hyp -> con,       occurrence(hyp),     occurrence(con),      support(rule),       confidence,      classical index,         entropic index,     classical simi,       entropic simi
V11 -> V6, 101.0000000000000000, 73.0000000000000000, 61.9631901840490755, 42.5742574257425730, 38.2455766201019287, 23.8558475481090291, 36.9931012392044067, 0.0000000000000000
V6 -> V11, 73.0000000000000000, 101.0000000000000000, 44.7852760736196345, 58.9041095890410986, 29.3995618649198427, 21.8306581668035165, 36.9931012392044067, 0.0000000000000000
V11 -> V29, 101.0000000000000000, 73.0000000000000000, 61.9631901840490755, 43.5643564356435675, 43.4421658515930176, 27.4638964263872190, 42.7261829376220703, 0.0000000000000000
V29 -> V11, 73.0000000000000000, 101.0000000000000000, 44.7852760736196345, 60.2739726027397253, 36.0545817052898983, 27.1346033844693686, 42.7261829376220703, 0.0000000000000000
V11 -> V33, 101.0000000000000000, 70.0000000000000000, 61.9631901840490755, 43.5643564356435675, 53.2849103212356567, 34.1461664421929854, 53.7849009037017822, 0.0000000000000000
V33 -> V11, 70.0000000000000000, 101.0000000000000000, 42.9447852760736239, 62.8571428571428541, 49.6778041588152846, 38.6125739438532278, 53.7849009037017822, 0.0000000000000000
V11 -> V28, 101.0000000000000000, 69.0000000000000000, 61.9631901840490755, 39.6039603960396036, 35.9074413776397705, 21.9263143464066523, 33.6776614189147949, 0.0000000000000000
V28 -> V11, 69.0000000000000000, 101.0000000000000000, 42.3312883435582847, 57.9710144927536248, 25.6293516740400449, 19.1016510925199725, 33.6776614189147949, 0.0000000000000000
V11 -> V12, 101.0000000000000000, 69.0000000000000000, 61.9631901840490755, 37.6237623762376217, 26.6644418239593506, 15.8254661982078328, 23.3567655086517334, 0.0000000000000000
V12 -> V11, 69.0000000000000000, 101.0000000000000000, 42.3312883435582847, 55.0724637681159450, 15.2521028872725672, 11.0485644603801845, 23.3567655086517334, 0.0000000000000000
V50 -> V44, 96.0000000000000000, 93.0000000000000000, 58.8957055214723937, 57.2916666666666643, 47.2703987419873073, 32.9941632829122042, 51.2234151363372803, 0.0000000000000000
V44 -> V50, 93.0000000000000000, 96.0000000000000000, 57.0552147239263832, 59.1397849462365599, 47.1654952999319690, 33.5486565415523614, 51.2234151363372803, 0.0000000000000000
V50 -> V15, 96.0000000000000000, 92.0000000000000000, 58.8957055214723937, 56.2500000000000000, 44.7780094386647107, 31.0013301049407062, 49.0026116371154785, 0.0000000000000000
V15 -> V50, 92.0000000000000000, 96.0000000000000000, 56.4417177914110368, 58.6956521739130466, 44.5116836641675135, 31.6013985962832038, 49.0026116371154785, 0.0000000000000000
V50 -> V36, 96.0000000000000000, 91.0000000000000000, 58.8957055214723937, 51.0416666666666643, 21.3986994135585427, 13.8841874385663289, 26.5109866857528687, 0.0000000000000000
V36 -> V50, 91.0000000000000000, 96.0000000000000000, 55.8282208588957047, 53.8461538461538467, 19.9919751756163819, 13.3847627410845771, 26.5109866857528687, 0.0000000000000000
V50 -> V30, 96.0000000000000000, 91.0000000000000000, 58.8957055214723937, 56.2500000000000000, 48.3945707112099583, 33.6724303312329809, 52.2053837776184082, 0.0000000000000000
V30 -> V50, 91.0000000000000000, 96.0000000000000000, 55.8282208588957047, 59.3406593406593430, 48.2903809411401568, 34.6705184712063641, 52.2053837776184082, 0.0000000000000000
V50 -> V9, 96.0000000000000000, 90.0000000000000000, 58.8957055214723937, 51.0416666666666643, 24.1721911429479519, 15.7837376443984994, 29.1072845458984375, 0.0000000000000000
V9 -> V50, 90.0000000000000000, 96.0000000000000000, 55.2147239263803726, 54.4444444444444429, 22.5577828832209129, 15.2935899324938447, 29.1072845458984375, 0.0000000000000000
V50 -> V49, 96.0000000000000000, 90.0000000000000000, 58.8957055214723937, 55.2083333333333357, 45.9189001661579255, 31.6914591231331038, 49.9663829803466797, 0.0000000000000000
V49 -> V50, 90.0000000000000000, 96.0000000000000000, 55.2147239263803726, 58.8888888888888928, 45.6025363835376538, 32.6782620846270149, 49.9663829803466797, 0.0000000000000000
V50 -> V17, 96.0000000000000000, 90.0000000000000000, 58.8957055214723937, 55.2083333333333357, 45.9189001661579255, 31.6914591231331038, 49.9663829803466797, 0.0000000000000000
V17 -> V50, 90.0000000000000000, 96.0000000000000000, 55.2147239263803726, 58.8888888888888928, 45.6025363835376538, 32.6782620846270149, 49.9663829803466797, 0.0000000000000000
V50 -> V27, 96.0000000000000000, 89.0000000000000000, 58.8957055214723937, 48.9583333333333286, 20.5945670604705811, 13.1336789274093810, 22.7160036563873291, 0.0000000000000000
V27 -> V50, 89.0000000000000000, 96.0000000000000000, 54.6012269938650263, 52.8089887640449405, 16.3418822416362630, 10.8879305247533917, 22.7160036563873291, 0.0000000000000000
V50 -> V37, 96.0000000000000000, 88.0000000000000000, 58.8957055214723937, 54.1666666666666643, 47.0331574056474295, 32.3528295602954685, 50.9518265724182129, 0.0000000000000000
V37 -> V50, 88.0000000000000000, 96.0000000000000000, 53.9877300613496942, 59.0909090909090935, 46.7223718023826038, 33.7852215912961924, 50.9518265724182129, 0.0000000000000000
V50 -> V3, 96.0000000000000000, 87.0000000000000000, 58.8957055214723937, 53.1250000000000000, 44.6265284041432722, 30.4477261298786885, 48.6667662858963013, 0.0000000000000000
V3 -> V50, 87.0000000000000000, 96.0000000000000000, 53.3742331288343621, 58.6206896551724057, 43.9962278878326032, 31.7504508491860022, 48.6667662858963013, 0.0000000000000000
V50 -> V32, 96.0000000000000000, 87.0000000000000000, 58.8957055214723937, 51.0416666666666643, 33.3566101820746894, 22.1594625442388988, 37.7206236124038696, 0.0000000000000000
V32 -> V50, 87.0000000000000000, 96.0000000000000000, 53.3742331288343621, 56.3218390804597675, 31.5610197751351471, 22.1769099493494863, 37.7206236124038696, 0.0000000000000000
V50 -> V43, 96.0000000000000000, 87.0000000000000000, 58.8957055214723937, 54.1666666666666643, 50.5588180049234310, 34.9392868538906072, 54.2318105697631836, 0.0000000000000000
V43 -> V50, 87.0000000000000000, 96.0000000000000000, 53.3742331288343621, 59.7701149425287426, 50.6245970018720044, 37.0042320477419509, 54.2318105697631836, 0.0000000000000000
V50 -> V25, 96.0000000000000000, 87.0000000000000000, 58.8957055214723937, 50.0000000000000000, 31.4132690429687500, 20.5798281899167073, 32.5444549322128296, 0.0000000000000000
V25 -> V50, 87.0000000000000000, 96.0000000000000000, 53.3742331288343621, 55.1724137931034448, 26.0329169817217334, 18.0394850763833396, 32.5444549322128296, 0.0000000000000000
V50 -> V46, 96.0000000000000000, 87.0000000000000000, 58.8957055214723937, 52.0833333333333357, 38.8540577549978963, 26.1630270263575220, 43.1276202201843262, 0.0000000000000000
V46 -> V50, 87.0000000000000000, 96.0000000000000000, 53.3742331288343621, 57.4712643678160902, 37.5898668256976904, 26.7728797900465096, 43.1276202201843262, 0.0000000000000000
V50 -> V41, 96.0000000000000000, 86.0000000000000000, 58.8957055214723937, 52.0833333333333357, 42.2771316736411649, 28.6086885355469818, 46.3597267866134644, 0.0000000000000000
V41 -> V50, 86.0000000000000000, 96.0000000000000000, 52.7607361963190158, 58.1395348837209340, 41.2775927913312870, 29.7271978377618389, 46.3597267866134644, 0.0000000000000000
V50 -> V52, 96.0000000000000000, 86.0000000000000000, 58.8957055214723937, 53.1250000000000000, 48.1213851955326959, 32.9858492045623919, 51.9594430923461914, 0.0000000000000000
V52 -> V50, 86.0000000000000000, 96.0000000000000000, 52.7607361963190158, 59.3023255813953512, 47.8719355683562355, 34.9234960313672644, 51.9594430923461914, 0.0000000000000000
V50 -> V42, 96.0000000000000000, 86.0000000000000000, 58.8957055214723937, 52.0833333333333357, 42.2771316736411649, 28.6086885355469818, 46.3597267866134644, 0.0000000000000000
V42 -> V50, 86.0000000000000000, 96.0000000000000000, 52.7607361963190158, 58.1395348837209340, 41.2775927913312870, 29.7271978377618389, 46.3597267866134644, 0.0000000000000000
V50 -> V23, 96.0000000000000000, 86.0000000000000000, 58.8957055214723937, 50.0000000000000000, 34.6953690052032471, 22.8555054460324101, 35.4799032211303711, 0.0000000000000000
V23 -> V50, 86.0000000000000000, 96.0000000000000000, 52.7607361963190158, 55.8139534883720927, 29.1165686938716597, 20.4129930920740428, 35.4799032211303711, 0.0000000000000000
V50 -> V22, 96.0000000000000000, 84.0000000000000000, 58.8957055214723937, 53.1250000000000000, 55.0380247198080355, 38.0584004243224072, 58.5967957973480225, 0.0000000000000000
V22 -> V50, 84.0000000000000000, 96.0000000000000000, 51.5337423312883445, 60.7142857142857082, 55.8494309966415585, 41.6095006489301511, 58.5967957973480225, 0.0000000000000000
V50 -> V10, 96.0000000000000000, 84.0000000000000000, 58.8957055214723937, 51.0416666666666643, 43.3891960777970738, 29.2579259921128099, 47.3226428031921387, 0.0000000000000000
V10 -> V50, 84.0000000000000000, 96.0000000000000000, 51.5337423312883445, 58.3333333333333357, 42.3462604280896429, 30.7654347462363589, 47.3226428031921387, 0.0000000000000000
V50 -> V13, 96.0000000000000000, 84.0000000000000000, 58.8957055214723937, 52.0833333333333357, 49.1841922352920662, 33.5909238370204903, 52.9897391796112061, 0.0000000000000000
V13 -> V50, 84.0000000000000000, 96.0000000000000000, 51.5337423312883445, 59.5238095238095255, 49.0519732984514363, 36.0943268750146800, 52.9897391796112061, 0.0000000000000000
V50 -> V53, 96.0000000000000000, 84.0000000000000000, 58.8957055214723937, 56.2500000000000000, 71.7162700868608738, 51.3797496733543326, 74.0116894245147705, 0.0000000000000000
V53 -> V50, 84.0000000000000000, 96.0000000000000000, 51.5337423312883445, 64.2857142857142918, 74.8695764711607552, 57.7917339735886912, 74.0116894245147705, 0.0000000000000000
V50 -> V4, 96.0000000000000000, 83.0000000000000000, 58.8957055214723937, 50.0000000000000000, 44.8796391487121582, 30.0128235715415350, 44.9725240468978882, 0.0000000000000000
V4 -> V50, 83.0000000000000000, 96.0000000000000000, 50.9202453987729982, 57.8313253012048136, 39.5999414064051223, 28.7080783926204504, 44.9725240468978882, 0.0000000000000000
V50 -> V20, 96.0000000000000000, 83.0000000000000000, 58.8957055214723937, 56.2500000000000000, 74.5133829877212719, 53.5720561533470772, 76.7857432365417480, 0.0000000000000000
V20 -> V50, 83.0000000000000000, 96.0000000000000000, 50.9202453987729982, 65.0602409638554207, 78.2291574095001891, 60.9712035482429826, 76.7857432365417480, 0.0000000000000000
V50 -> V21, 96.0000000000000000, 83.0000000000000000, 58.8957055214723937, 50.0000000000000000, 44.8796391487121582, 30.0128235715415350, 44.9725240468978882, 0.0000000000000000
V21 -> V50, 83.0000000000000000, 96.0000000000000000, 50.9202453987729982, 57.8313253012048136, 39.5999414064051223, 28.7080783926204504, 44.9725240468978882, 0.0000000000000000
